id,first_name,last_name,gender,robot_serial,robot_color,field_test_1,field_test_2,field_test_3
62,Delainey,Erat,Male,RS:532_7667,Maroon,53,55,60
63,Tani,Le Pruvost,Female,RS:946_1715,Maroon,77,91,93
64,Olympie,Brittan,Female,RS:119_1848,Green,81,78,43
65,Mariele,Peracco,Female,RS:237_7261,Yellow,93,63,74
66,Aleta,MacMoyer,Female,RS:894_6296,Khaki,96,85,59
67,Beth,Gomer,Female,RS:806_6857,Puce,84,84,39
68,Morgana,Matei,Female,RS:698_9027,Khaki,80,68,52
69,Madelena,Tofanini,Female,RS:074_6808,Green,51,47,98
70,Drew,MacGruer,Male,RS:998_2840,Green,73,56,96
71,Viola,De Few,Female,RS:128_8818,Fuscia,54,42,94
72,Konstance,Pember,Female,RS:626_6729,Turquoise,71,69,94
73,Egbert,Flucks,Male,RS:660_2629,Violet,55,78,46
74,Phil,Caplen,Female,RS:444_4494,Puce,56,96,76
75,Erl,Griffen,Male,RS:897_0455,Turquoise,61,50,87
76,Jo-ann,Rymell,Female,RS:345_5473,Fuscia,66,64,92
77,Yance,Nevinson,Male,RS:872_4919,Fuscia,97,70,54
78,Alessandra,Glendza,Female,RS:666_7514,Mauv,72,39,62
79,Nettle,Stranio,Female,RS:451_9118,Blue,79,93,100
80,Remus,Regelous,Male,RS:815_1600,Maroon,100,45,42
81,Arley,Wix,Male,RS:739_7350,Crimson,88,46,44
82,Magnum,McKew,Male,RS:416_9930,Violet,61,88,55
83,Miles,Espinha,Male,RS:212_3857,Puce,74,77,60
84,Arny,Weedon,Male,RS:993_4348,Goldenrod,91,87,92
85,Betteanne,O'Dyvoy,Female,RS:287_9072,Purple,93,69,80
86,Gardy,Twaits,Male,RS:116_0096,Crimson,99,89,90
87,Hermione,Plews,Female,RS:114_3112,Purple,70,46,96
88,Thorpe,Elsy,Male,RS:956_6984,Blue,69,81,36
89,Alleen,Jeffcoate,Female,RS:832_1141,Turquoise,92,58,56
90,Josy,Haysey,Female,RS:421_6801,Puce,88,97,67
91,Amble,Mocker,Male,RS:500_4165,Red,65,46,76
92,Nathalia,Lincoln,Female,RS:037_6751,Violet,72,65,70
93,Valery,Eyer,Female,RS:272_9385,Indigo,67,80,72
94,Raffarty,Vasilchenko,Male,RS:473_6410,Blue,75,42,43
95,Zane,Ewens,Male,RS:152_0462,Puce,62,56,94
96,Correna,Suart,Female,RS:537_8300,Crimson,64,70,38
97,Eleanora,Pearmain,Female,RS:909_2923,Yellow,77,50,61
98,Kora,Broggio,Female,RS:721_2014,Maroon,82,95,40
99,Corby,Liddell,Male,RS:822_5335,Orange,81,90,83
100,Zuzana,Leworthy,Female,RS:229_0624,Teal,81,78,85
101,Sibylle,Biset,Female,RS:134_4617,Red,81,61,91
102,Millie,Beall,Female,RS:966_4957,Mauv,82,70,90
103,Deeyn,Axup,Female,RS:028_3550,Indigo,60,81,52
104,Gerrie,Hartfield,Female,RS:035_6471,Teal,63,98,66
105,Vassily,Smiths,Male,RS:253_1595,Mauv,64,58,76
106,Alfonso,Paddon,Male,RS:469_5471,Purple,53,70,93
107,John,Commings,Male,RS:523_7012,Crimson,64,75,87
108,Nikoletta,Stickland,Female,RS:952_6039,Violet,84,75,51
109,Ashleigh,Severy,Female,RS:716_4753,Mauv,74,86,94
110,Kaylee,Rennick,Female,RS:334_4947,Red,63,59,58
111,Veradis,Gopsell,Female,RS:887_5327,Goldenrod,69,37,52
112,Alverta,Adelberg,Female,RS:412_2300,Mauv,64,96,39
113,Gustave,Wybron,Male,RS:111_3107,Orange,97,37,68
114,Stanislaus,Keeping,Male,RS:576_6028,Violet,96,85,70
115,Briny,Raymen,Female,RS:796_0222,Teal,53,96,63
116,Larine,Blaney,Female,RS:597_9355,Maroon,77,71,55
117,Polly,Romaint,Female,RS:953_4120,Maroon,91,79,40
118,Jody,Dorcey,Male,RS:543_3380,Orange,86,69,73
119,Margi,Pratte,Female,RS:891_1128,Green,100,100,67
120,Gaby,Onraet,Female,RS:937_7929,Puce,57,95,52
121,Martha,Lant,Female,RS:729_8980,Violet,64,60,41
122,Lindsay,McElhinney,Female,RS:497_5233,Fuscia,98,50,96
123,Melitta,Tann,Female,RS:753_9250,Mauv,100,92,65
124,Waylan,Bilbery,Male,RS:868_0492,Green,63,97,48
125,Aveline,Andresen,Female,RS:533_9577,Orange,82,71,35
126,Ermin,Flattman,Male,RS:234_6274,Teal,78,94,47
127,Maribel,Dearden,Female,RS:129_9842,Mauv,52,72,93
128,Prentiss,Boak,Male,RS:875_8219,Yellow,81,82,87
129,Rudie,Sholl,Male,RS:033_4010,Indigo,94,100,91
130,Sibylle,Dalliwatr,Female,RS:153_3683,Red,81,68,66
131,Ede,Longley,Female,RS:671_9893,Purple,79,74,92
132,Feodora,Roback,Female,RS:214_8739,Maroon,73,94,81
133,Yale,Messenbird,Male,RS:918_4853,Red,77,61,46
134,Ninnetta,Rouzet,Female,RS:981_4844,Crimson,63,36,52
135,Koo,Sumshon,Female,RS:343_1766,Aquamarine,89,94,62
136,Pearce,Eales,Male,RS:692_4346,Puce,53,74,69
137,Rriocard,Turnock,Male,RS:167_9886,Green,57,99,67
138,Clementina,Mixer,Female,RS:136_9262,Violet,75,98,84
139,Blanche,Huyton,Female,RS:798_5176,Orange,71,68,58
140,Dierdre,Melmoth,Female,RS:314_8215,Maroon,87,93,71
141,Fanchon,Heers,Female,RS:481_3132,Teal,73,81,49
142,Mahala,Doddrell,Female,RS:728_1563,Turquoise,89,84,66
143,Burl,Sampson,Male,RS:626_0400,Pink,66,49,49
144,Joane,Maudett,Female,RS:859_6444,Pink,68,90,74
145,Leticia,Izhak,Female,RS:555_3789,Khaki,87,54,60
146,Shaina,Eliff,Female,RS:818_7957,Aquamarine,82,80,61
147,Eadmund,Dell Casa,Male,RS:448_7879,Turquoise,82,97,67
148,Roy,Luton,Male,RS:690_1283,Puce,89,95,61
149,Rice,Titterrell,Male,RS:343_0059,Teal,100,60,86
150,Yanaton,Holleworth,Male,RS:702_0222,Red,86,90,61
151,Louie,Shreeve,Male,RS:210_3636,Blue,59,73,97
152,Lynnette,Dorney,Female,RS:909_0085,Fuscia,80,45,63
153,Abraham,Rylance,Male,RS:197_8641,Pink,77,41,63
154,Sibilla,McKiernan,Female,RS:768_1919,Purple,88,63,39
155,Margret,Haggerstone,Female,RS:319_1674,Teal,50,86,85
156,Allx,MacCarter,Female,RS:092_2454,Aquamarine,70,60,62
157,Dallon,Bisatt,Male,RS:879_4579,Red,75,74,72
158,Murdoch,Sinncock,Male,RS:126_7515,Fuscia,91,45,66
159,Glory,Barrell,Female,RS:850_0159,Teal,64,36,96
160,Marchall,Messingham,Male,RS:493_4996,Orange,65,62,56
161,Bess,Tolhurst,Female,RS:212_0311,Aquamarine,93,37,71
162,Wilie,Iron,Female,RS:731_0639,Turquoise,63,88,58
163,Ives,Logg,Male,RS:607_2852,Puce,83,99,64
164,Clotilda,McElrath,Female,RS:590_4783,Mauv,82,78,84
165,Aldrich,Wrench,Male,RS:447_2061,Green,57,44,86
166,Nara,Cheers,Female,RS:438_4620,Crimson,94,70,43
167,Urbanus,Pardoe,Male,RS:530_2195,Red,99,36,62
168,Cece,Nials,Male,RS:287_2731,Orange,62,86,45
169,Rosamund,Clogg,Female,RS:436_6923,Orange,77,81,51
170,Harriot,Chadwyck,Female,RS:586_9623,Violet,75,52,45
171,Lawton,Harriday,Male,RS:458_4201,Orange,65,68,87
172,Griffith,Etchingham,Male,RS:605_8399,Pink,57,68,52
173,Burgess,Shurmore,Male,RS:021_5262,Turquoise,52,46,91
174,Byron,Barbrick,Male,RS:141_6604,Blue,82,45,42
175,Rolland,Buntin,Male,RS:066_2937,Teal,53,59,39
176,Somerset,Foxten,Male,RS:783_1066,Green,50,65,96
177,Garrick,McGrale,Male,RS:937_2877,Puce,81,98,93
178,Pet,Connow,Female,RS:512_0107,Purple,97,47,90
179,Silvano,Poulsum,Male,RS:879_6665,Red,57,97,57
180,Christan,Pain,Female,RS:695_1860,Khaki,100,54,98
181,Shani,Bollini,Female,RS:183_2858,Yellow,89,84,92
182,Dewitt,Benda,Male,RS:902_4535,Orange,90,38,92
183,Hildegarde,Hargreave,Female,RS:182_5085,Aquamarine,66,50,84
184,Conant,Ainley,Male,RS:365_3268,Teal,70,64,64
185,Hadley,Ewin,Male,RS:506_7306,Violet,97,92,64
186,Maisey,Colvin,Female,RS:206_2390,Yellow,80,35,66
187,Frans,Enrich,Male,RS:157_8556,Blue,55,86,81
188,Cy,O'Fallone,Male,RS:533_2796,Puce,58,45,44
189,Rozalin,Buesnel,Female,RS:284_9718,Mauv,87,55,89
190,Rozelle,Wincer,Female,RS:058_3237,Mauv,90,39,45
191,Cull,Tampen,Male,RS:486_5140,Pink,73,76,55
192,Selestina,Caldes,Female,RS:211_8036,Indigo,84,53,48
193,Moises,Bayford,Male,RS:911_1463,Crimson,72,39,82
194,Ted,Drewell,Female,RS:791_0352,Orange,86,90,63
195,Stevana,Casero,Female,RS:627_8747,Aquamarine,88,95,36
196,Jourdain,Jacketts,Male,RS:094_7588,Red,72,47,38
197,Rudolfo,Garahan,Male,RS:510_9716,Aquamarine,96,56,94
198,Frederique,Slater,Female,RS:615_7464,Crimson,67,45,92
199,Aloysius,Waycot,Male,RS:653_1910,Teal,81,37,75
200,Ariel,Watkins,Female,RS:356_6258,Blue,52,85,86
201,Rand,Hassey,Male,RS:170_5588,Indigo,83,35,96
202,Sally,Surtees,Female,RS:783_7803,Violet,84,61,96
203,Webb,Farthin,Male,RS:088_1588,Blue,94,97,51
204,Hilliary,Risebarer,Female,RS:613_6316,Puce,76,57,79
205,Matty,Zimmermanns,Male,RS:379_2250,Turquoise,91,83,94
206,Alaine,Duddridge,Female,RS:450_0028,Crimson,62,40,64
207,Gannie,Vasyukhin,Male,RS:446_0423,Violet,77,55,84
208,Janenna,Mainwaring,Female,RS:803_6716,Puce,92,66,73
209,Derry,Durbridge,Male,RS:038_6376,Yellow,78,88,61
210,Mary,Fowlston,Female,RS:208_6705,Khaki,61,79,57
211,Ody,Biddleston,Male,RS:828_2198,Goldenrod,57,86,51
212,Milicent,Gunstone,Female,RS:324_9815,Khaki,67,77,77
213,Horatio,Jessen,Male,RS:447_0094,Indigo,65,59,65
214,Filia,Errichelli,Female,RS:991_8648,Fuscia,93,65,70
215,Chester,Capron,Male,RS:237_9326,Khaki,77,57,36
216,Alain,Burnard,Male,RS:104_5990,Orange,99,44,87
217,Gilbertina,Mannering,Female,RS:104_2924,Khaki,88,36,67
218,Nickolas,Forestall,Male,RS:304_6351,Teal,66,88,70
219,Benedick,Gaggen,Male,RS:843_2027,Teal,97,38,44
220,Miguela,Wiggans,Female,RS:323_3452,Indigo,91,94,66
221,Sabine,Boow,Female,RS:350_1823,Aquamarine,50,39,82
222,Ivory,Barrus,Female,RS:031_7484,Orange,70,40,54
223,Pierce,Menel,Male,RS:880_3268,Crimson,95,50,50
224,Jeramey,Fey,Male,RS:824_3902,Yellow,66,55,96
225,Mace,Castellini,Male,RS:872_2096,Purple,79,70,35
226,Dore,Stonestreet,Female,RS:225_4544,Red,50,48,43
227,Seamus,Bronot,Male,RS:701_0424,Crimson,83,89,68
228,Lou,Kinnon,Female,RS:082_9402,Teal,54,70,98
229,Vernor,Hakking,Male,RS:839_5706,Turquoise,96,89,50
230,Bella,Dono,Female,RS:553_4116,Green,81,73,100
231,Bekki,Middleweek,Female,RS:812_8457,Red,98,51,75
232,Terrijo,Jozef,Female,RS:867_3023,Pink,58,43,76
233,Evelin,Loyndon,Male,RS:259_0682,Green,93,49,37
234,Nadine,Bettinson,Female,RS:348_4045,Crimson,59,47,73
235,Wright,Houlahan,Male,RS:942_1770,Yellow,63,49,59
236,Tammi,Basil,Female,RS:472_2816,Yellow,68,71,36
237,Montague,Stringman,Male,RS:419_4708,Khaki,50,95,89
238,Shannah,Cleugher,Female,RS:280_5783,Mauv,75,62,94
239,Dyanne,Eccersley,Female,RS:383_0783,Mauv,73,89,71
240,Glory,Boraston,Female,RS:468_0106,Red,66,60,54
241,Fredia,Dickings,Female,RS:496_9967,Indigo,93,40,44
242,Joyan,Chuck,Female,RS:587_3932,Blue,88,48,40
243,Venita,Doble,Female,RS:501_4890,Puce,77,88,44
244,Innis,Teasey,Male,RS:591_7529,Teal,56,72,60
245,Letty,Spurritt,Female,RS:844_3919,Turquoise,74,37,50
246,Teresita,Guille,Female,RS:045_7510,Violet,56,100,56
247,Wald,Rusted,Male,RS:133_3806,Orange,60,92,91
248,Melodee,Grabiec,Female,RS:965_3328,Orange,77,41,81
249,Hagan,Tante,Male,RS:873_1388,Pink,71,49,49
250,Davin,Lambourn,Male,RS:323_1523,Khaki,67,90,86
251,Rosamund,Foulds,Female,RS:955_3073,Green,69,59,99
252,Bernarr,Andraud,Male,RS:489_3702,Puce,86,42,47
253,Stearn,Croxton,Male,RS:726_2533,Violet,79,62,46
254,Neile,Barlass,Female,RS:824_6585,Goldenrod,74,55,70
255,Friedrich,Pally,Male,RS:975_8054,Teal,98,94,48
256,Roderich,Stubley,Male,RS:699_8851,Yellow,87,80,59
257,Lee,Eastes,Female,RS:222_0727,Orange,93,90,92
258,Ab,McDowell,Male,RS:367_7403,Orange,66,40,90
259,Garald,Danilchenko,Male,RS:333_6516,Aquamarine,61,54,54
260,Prisca,Strowlger,Female,RS:830_5195,Mauv,51,41,72
261,Delly,Vasilyevski,Female,RS:581_9413,Khaki,53,88,78
262,Jeremias,Hove,Male,RS:775_2094,Aquamarine,99,65,59
263,Athena,Simcox,Female,RS:548_5565,Pink,94,78,88
264,Tawsha,Anstie,Female,RS:127_8861,Turquoise,86,43,42
265,Wolfie,Stitfall,Male,RS:012_2407,Puce,93,86,90
266,Rica,Labusquiere,Female,RS:572_3971,Crimson,85,89,62
267,Beckie,Carneck,Female,RS:411_9868,Turquoise,59,61,74
268,Robinson,Blitzer,Male,RS:134_1662,Crimson,79,82,96
269,Everett,Robatham,Male,RS:217_4672,Goldenrod,62,50,44
270,Dorri,Saunder,Female,RS:441_8467,Turquoise,99,97,57
271,Bessy,Seawright,Female,RS:121_7457,Yellow,96,44,50
272,Rowe,Haveline,Female,RS:171_0470,Maroon,54,89,51
273,Devlin,Ambrozewicz,Male,RS:742_9917,Aquamarine,84,62,90
274,Korey,Werrett,Male,RS:736_4211,Green,51,98,35
275,Berky,Spandley,Male,RS:699_6171,Green,91,45,47
276,Venita,Rives,Female,RS:183_8806,Yellow,74,86,36
277,Chaim,Bambra,Male,RS:362_7506,Blue,55,74,85
278,Angus,Vedekhin,Male,RS:034_8102,Red,66,81,41
279,Siouxie,Kincade,Female,RS:444_7311,Aquamarine,82,94,46
280,Regan,Jiggens,Male,RS:884_1913,Green,74,43,35
281,Bell,Sparks,Female,RS:790_2310,Red,91,89,70
282,Sim,Lowndsbrough,Male,RS:029_2873,Red,51,47,70
283,Ruthy,Leask,Female,RS:433_8815,Turquoise,89,48,58
284,Damara,Gosnall,Female,RS:950_1011,Fuscia,71,46,41
285,Agathe,Furnival,Female,RS:746_7209,Indigo,91,57,72
286,Maren,Shewring,Female,RS:903_4246,Crimson,71,41,52
287,Megen,Renol,Female,RS:690_0009,Orange,94,58,89
288,Silvano,Jaxon,Male,RS:914_0734,Green,68,41,96
289,Arlana,Lelande,Female,RS:089_5051,Indigo,72,84,63
290,Dud,Rubberts,Male,RS:126_3513,Pink,99,35,75
291,Moe,Shipman,Male,RS:736_9436,Red,57,92,50
292,Roxi,Banford,Female,RS:432_9795,Pink,100,96,47
293,Duky,Pomfrett,Male,RS:524_5383,Purple,53,97,65
294,Karol,Stute,Female,RS:899_5571,Teal,78,37,64
295,Woodie,Roels,Male,RS:693_0720,Pink,70,46,79
296,Paddy,Curedale,Male,RS:174_2351,Crimson,63,41,97
297,Roberta,Worvell,Female,RS:743_4867,Red,53,70,53
298,Abbie,Grichukhanov,Male,RS:309_3169,Purple,52,48,64
299,Maurie,Dodgshun,Male,RS:218_6538,Yellow,78,83,72
300,Angelika,Hassan,Female,RS:169_8841,Fuscia,73,50,66
301,Constantina,Dietmar,Female,RS:663_2345,Red,50,42,58
302,Thacher,Facey,Male,RS:700_6005,Puce,64,87,64
303,Rhianon,Keitley,Female,RS:744_1753,Indigo,74,99,40
304,Lillian,Van Ross,Female,RS:740_0238,Khaki,66,97,84
305,Wells,Iacoboni,Male,RS:719_3588,Pink,91,69,95
306,Mylo,Bowman,Male,RS:631_0613,Goldenrod,64,63,93
307,Isobel,Francey,Female,RS:015_5469,Pink,82,73,51
308,Cornell,Joly,Male,RS:090_6097,Purple,82,65,37
309,Abie,McLemon,Male,RS:971_7948,Crimson,91,93,95
310,Antoni,Tween,Male,RS:033_0915,Fuscia,85,43,67
311,Adelina,Resun,Female,RS:919_1460,Violet,68,68,66
312,Archambault,Michie,Male,RS:978_5809,Khaki,82,88,35
313,Tomasina,Bridges,Female,RS:459_5271,Green,100,79,41
314,Adara,Bulcock,Female,RS:079_6880,Yellow,58,88,53
315,Vannie,Kowalik,Female,RS:039_7876,Blue,57,53,76
316,Izabel,Kilgrove,Female,RS:164_9968,Fuscia,92,55,89
317,Dominik,Devigne,Male,RS:950_1782,Maroon,72,69,70
318,Philippa,Strahan,Female,RS:967_1330,Aquamarine,95,71,85
319,Fairleigh,de Quesne,Male,RS:152_6878,Fuscia,69,71,48
320,Ramsay,Varcoe,Male,RS:670_5788,Aquamarine,93,72,78
321,Andy,Adami,Male,RS:132_4365,Red,84,63,46
322,Ethyl,O'Gaven,Female,RS:063_5386,Orange,61,75,86
323,Dru,Wickham,Male,RS:898_5284,Maroon,62,47,63
324,Magnum,Debill,Male,RS:877_4608,Pink,98,93,79
325,Tonya,Blackway,Female,RS:506_9445,Teal,56,47,71
326,Gabriela,Iacomelli,Female,RS:589_6457,Fuscia,78,65,43
327,Joseito,Fahy,Male,RS:557_8600,Fuscia,94,87,70
328,Jodie,Brafferton,Male,RS:625_8503,Violet,93,53,43
329,Donnie,Pilgram,Female,RS:002_2760,Fuscia,86,55,68
330,Danika,MacGeaney,Female,RS:892_6757,Crimson,95,63,84
331,Ive,Branni,Male,RS:480_6271,Orange,73,43,93
332,Domenico,Selby,Male,RS:139_4169,Red,92,71,71
333,Loralee,Cleaveland,Female,RS:670_3586,Yellow,93,43,55
334,Daphne,Delyth,Female,RS:579_0940,Yellow,69,78,55
335,Arabel,Hartop,Female,RS:897_4516,Pink,90,67,95
336,Orin,Buchan,Male,RS:715_8831,Aquamarine,66,84,51
337,Leeann,Bockler,Female,RS:392_7039,Puce,87,67,75
338,Ashlan,Brockelsby,Female,RS:583_3141,Goldenrod,72,64,84
339,Stillman,Dutson,Male,RS:130_2472,Turquoise,97,85,100
340,Monti,Wimmers,Male,RS:672_6411,Maroon,80,67,78
341,Cary,Hritzko,Female,RS:233_1817,Teal,86,37,86
342,Gearalt,Geertz,Male,RS:077_9733,Teal,71,75,43
343,Barb,Lillicrop,Female,RS:412_9141,Turquoise,91,98,56
344,Marylou,Haseman,Female,RS:960_8487,Violet,72,77,52
345,Dixie,Batiste,Female,RS:304_5107,Mauv,86,35,87
346,Kelsi,Mossbee,Female,RS:917_9538,Turquoise,82,83,43
347,Armando,Matschke,Male,RS:482_2794,Fuscia,51,94,86
348,Alyse,Sweetland,Female,RS:183_1428,Violet,91,91,68
349,Portia,Litchmore,Female,RS:014_9993,Violet,74,86,47
350,Prudy,Abbe,Female,RS:948_1012,Maroon,61,58,73
351,Esma,Bartholin,Female,RS:892_6576,Puce,60,45,64
352,Doretta,Faires,Female,RS:138_4604,Red,75,64,53
353,Anabella,Wales,Female,RS:574_9830,Maroon,83,45,74
354,Neron,St Pierre,Male,RS:921_8193,Pink,88,75,63
355,Garvin,Aspinal,Male,RS:195_6905,Khaki,92,76,42
356,Madelena,Dassindale,Female,RS:145_3858,Turquoise,90,37,65
357,Philbert,Dashkovich,Male,RS:217_5444,Mauv,53,45,98
358,Yanaton,Gilpin,Male,RS:456_3304,Blue,70,70,84
359,Hillie,Shilton,Male,RS:346_7009,Turquoise,87,67,94
360,Annabelle,Halewood,Female,RS:779_1516,Teal,87,54,92
361,Conrade,Absolon,Male,RS:646_8948,Aquamarine,50,46,79
362,Mirabella,O'Hallagan,Female,RS:449_6900,Violet,81,44,83
363,Nicolas,Mitchinson,Male,RS:152_1073,Yellow,95,75,85
364,Chane,O'Mullaney,Male,RS:017_7972,Turquoise,53,55,100
365,Keen,Durden,Male,RS:229_6295,Purple,83,57,78
366,Jedediah,Wilkenson,Male,RS:442_8474,Pink,51,67,42
367,Margie,Carhart,Female,RS:211_6149,Violet,87,74,77
368,Roxie,Petch,Female,RS:248_8486,Turquoise,99,60,75
369,Rickard,Pockey,Male,RS:361_7257,Purple,75,67,62
370,Nikolos,Belch,Male,RS:228_1659,Blue,82,43,46
371,Arin,Duckworth,Male,RS:669_6884,Goldenrod,91,58,94
372,Peggie,Rodway,Female,RS:016_2569,Fuscia,73,76,78
373,Arni,Petrillo,Male,RS:068_7079,Maroon,82,37,49
374,Denny,Gulliford,Female,RS:944_4102,Aquamarine,77,80,78
375,Stanfield,Renowden,Male,RS:508_8552,Turquoise,62,53,81
376,Leanna,Haigh,Female,RS:289_6944,Fuscia,84,52,94
377,Artemis,Tivers,Male,RS:035_8549,Mauv,74,60,41
378,Elia,Wallbank,Male,RS:348_7714,Fuscia,62,55,74
379,Kort,Koppel,Male,RS:959_1307,Teal,98,92,35
380,Rickie,Dash,Female,RS:973_5909,Violet,66,44,78
381,Thorpe,Ashbolt,Male,RS:759_6381,Maroon,66,60,43
382,Arlin,Firpo,Male,RS:228_4967,Puce,89,83,74
383,Findley,Drysdell,Male,RS:573_6097,Yellow,55,70,96
384,Linn,Sturr,Female,RS:713_2985,Indigo,76,41,84
385,Abagail,Harflete,Female,RS:661_7978,Teal,55,57,46
386,Marco,Dozdill,Male,RS:850_9311,Fuscia,94,70,46
387,Perice,Gosz,Male,RS:023_4434,Khaki,72,92,91
388,Ravi,Lembrick,Male,RS:886_5679,Green,67,85,98
389,Dorthea,Brundale,Female,RS:338_2911,Blue,88,55,93
390,Reeba,Plumptre,Female,RS:985_8677,Teal,86,77,90
391,Kayley,Tace,Female,RS:024_2850,Teal,84,83,59
392,Law,Tesimon,Male,RS:132_8748,Pink,96,82,95
393,Danny,Mariel,Male,RS:318_6312,Orange,74,88,50
394,Aretha,Smogur,Female,RS:405_3943,Pink,59,83,58
395,Fowler,Gilliat,Male,RS:408_8254,Pink,55,80,39
396,Antonia,Dobing,Female,RS:986_4424,Orange,79,69,75
397,Jeri,Dearlove,Female,RS:490_1685,Indigo,83,41,71
398,Jillie,Vick,Female,RS:222_5542,Green,89,59,38
399,Caritta,Fildery,Female,RS:965_7391,Indigo,82,91,46
400,Corey,Roff,Male,RS:742_7448,Green,80,63,61
401,Allen,Yeowell,Male,RS:275_0571,Puce,87,71,94
402,Ellery,Cowerd,Male,RS:636_7396,Crimson,91,80,65
403,Francois,Dignan,Male,RS:752_8441,Pink,67,51,67
404,Margalo,Mayling,Female,RS:129_8767,Khaki,86,57,51
405,Aurel,Roderick,Female,RS:508_7368,Blue,52,74,60
406,Hermie,Lefeaver,Male,RS:028_5752,Indigo,65,55,57
407,Klement,Longman,Male,RS:704_1025,Mauv,80,84,73
408,Leland,Onslow,Male,RS:257_5260,Yellow,93,41,60
409,Saidee,Worden,Female,RS:699_4447,Puce,95,62,57
410,Terri,Rodger,Male,RS:314_2342,Red,92,70,65
411,Maurie,Verrico,Male,RS:244_0470,Indigo,51,88,84
